timestamp,slug,side,price,latency_ms,success,error
2025-12-04T10:32:48.661Z,btc-updown-15m-1764930600,UP,0.45,437,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:48.662Z,btc-updown-15m-1764930600,UP,0.45,439,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:48.662Z,btc-updown-15m-1764930600,UP,0.45,438,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:48.662Z,btc-updown-15m-1764930600,UP,0.45,439,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:48.663Z,btc-updown-15m-1764930600,UP,0.45,440,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:49.058Z,btc-updown-15m-1764930600,UP,0.45,834,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.065Z,btc-updown-15m-1764930600,UP,0.45,1843,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.394Z,btc-updown-15m-1764930600,UP,0.45,325,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.435Z,btc-updown-15m-1764930600,UP,0.45,368,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.435Z,btc-updown-15m-1764930600,UP,0.45,366,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.436Z,btc-updown-15m-1764930600,UP,0.45,369,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.436Z,btc-updown-15m-1764930600,UP,0.45,370,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.436Z,btc-updown-15m-1764930600,UP,0.45,368,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.437Z,btc-updown-15m-1764930600,UP,0.45,369,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.437Z,btc-updown-15m-1764930600,UP,0.45,370,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.437Z,btc-updown-15m-1764930600,UP,0.45,371,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.438Z,btc-updown-15m-1764930600,UP,0.45,370,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.438Z,btc-updown-15m-1764930600,UP,0.45,371,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.438Z,btc-updown-15m-1764930600,UP,0.45,369,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.439Z,btc-updown-15m-1764930600,UP,0.45,372,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.462Z,btc-updown-15m-1764930600,UP,0.45,395,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.503Z,btc-updown-15m-1764930600,UP,0.45,434,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.757Z,btc-updown-15m-1764930600,UP,0.45,689,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.868Z,btc-updown-15m-1764930600,UP,0.45,800,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:50.873Z,btc-updown-15m-1764930600,UP,0.45,806,false,"the orderbook 1261177901261507592541262205167949569052445571088410766705048522472724893012 does not exist"
2025-12-04T10:32:51.088Z,btc-updown-15m-1764930600,UP,0.45,1021,false,"order 0xd1f43dc933dcb7e14eaf0bc20777fac9cfef24ec827ea427e79d73e177469c75 is invalid. Duplicated."
2025-12-04T10:32:51.089Z,btc-updown-15m-1764930600,UP,0.45,1020,true,
